LGA_CODE_2021,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
LGA14900,7610,15016,448,452,903,7940,8166,16101,74,100,172,7002,7379,14380,381,362,746,7460,7842,15301,78,101,183,6665,6866,13526,289,300,591,7027,7268,14296,75,82,152,6515,6273,12788,348,270,621,6940,6623,13565,52,79,125,5400,5591,10997,249,232,481,5700,5908,11601,99,128,226,11799,13244,25043,830,877,1702,12724,14245,26976,1839,1999,3838,107861,109156,217016,6467,6126,12595,116163,117283,233446
LGA14920,148,284,20,25,45,181,197,372,24,34,57,158,168,329,30,32,60,214,235,452,37,35,68,189,200,390,28,22,53,255,258,508,28,33,58,218,205,425,26,30,55,270,263,535,31,27,59,245,243,484,30,26,52,304,296,603,63,74,135,760,776,1538,100,95,195,923,940,1864,543,580,1121,2823,2793,5621,421,387,812,3789,3761,7551
LGA14950,67,139,6,5,14,81,74,157,5,5,6,80,86,166,7,9,11,88,101,188,3,10,8,92,79,171,13,9,20,109,96,200,3,4,6,117,118,236,13,14,24,136,137,269,5,4,8,123,118,238,5,4,15,133,129,257,15,9,18,370,353,727,27,35,64,413,397,805,80,87,162,1435,1457,2892,135,127,261,1649,1669,3319
LGA15050,2647,5206,112,102,213,2828,2901,5728,167,147,318,2419,2629,5046,92,79,168,2678,2862,5539,113,166,277,2397,2617,5018,82,72,161,2599,2852,5451,96,133,220,2217,2438,4655,81,72,154,2392,2644,5035,71,99,168,2178,2415,4592,75,69,143,2324,2584,4906,116,171,291,6078,7146,13222,204,290,496,6395,7613,14004,3235,3507,6738,39070,41270,80339,1609,1538,3141,43917,46310,90226
LGA15240,1961,3685,125,171,299,2010,2275,4284,167,185,355,2128,2281,4412,178,174,354,2479,2643,5122,158,181,335,2439,2682,5119,192,145,341,2780,3010,5795,145,172,315,2926,3251,6176,222,211,439,3293,3633,6930,150,193,340,3636,4073,7710,238,206,443,4021,4467,8489,295,306,598,14407,15326,29732,847,887,1729,15550,16519,32069,3462,3553,7016,40586,42920,83503,3039,3020,6061,47086,49495,96579
LGA15270,647,1246,65,60,122,690,746,1436,35,50,78,663,699,1356,61,57,113,754,799,1553,58,52,108,778,777,1552,64,55,120,897,880,1779,37,49,89,781,768,1548,63,69,136,887,889,1772,32,35,67,777,753,1530,71,56,125,879,846,1723,66,43,115,2364,2468,4833,177,192,366,2613,2704,5317,887,862,1751,11071,11015,22089,981,886,1872,12945,12766,25713
LGA15300,226,443,94,89,180,366,401,765,69,74,143,220,239,453,68,72,142,353,385,740,82,86,173,275,249,523,95,81,173,454,413,868,63,84,147,292,265,561,95,98,189,454,447,903,49,61,106,302,266,572,69,66,142,427,397,822,111,109,223,784,767,1551,176,169,344,1073,1047,2121,1199,1338,2535,3907,3772,7678,1272,1266,2533,6376,6369,12751
LGA15350,989,1781,33,23,54,817,1013,1828,5,3,9,926,1118,2042,23,43,62,949,1158,2109,5,0,5,922,1143,2068,31,28,54,957,1173,2125,3,0,5,848,1052,1899,30,24,53,879,1079,1960,0,0,3,810,893,1710,27,34,54,841,928,1766,7,0,4,2547,3459,6008,84,106,189,2640,3571,6209,49,33,82,12581,14823,27410,402,436,837,13033,15294,28329
LGA15520,281,562,24,27,49,317,310,628,15,16,35,324,320,648,31,15,52,374,354,729,10,18,21,343,382,729,29,25,54,379,423,802,7,12,18,365,431,796,30,39,67,408,477,882,15,16,33,464,478,947,38,35,70,513,533,1048,25,25,47,1700,1651,3349,134,127,265,1855,1803,3659,231,259,492,5689,5744,11432,492,438,926,6409,6441,12850
LGA15560,70,150,8,11,18,98,85,184,9,5,15,79,82,159,6,9,20,96,97,188,10,15,20,91,100,188,10,10,17,102,120,224,11,11,21,119,108,225,10,6,18,139,127,267,8,9,14,127,120,246,8,9,26,149,136,284,10,18,24,324,299,622,41,41,81,372,354,727,148,146,290,1444,1318,2762,155,142,302,1751,1601,3353
LGA15650,412,882,43,32,73,551,485,1029,29,39,68,453,436,888,37,32,67,525,508,1030,34,31,69,484,476,963,28,28,56,550,535,1086,38,46,79,517,461,974,30,32,66,581,542,1125,27,29,58,388,374,759,21,12,31,440,421,857,32,42,72,1086,1165,2253,59,74,130,1177,1281,2447,1007,892,1908,6868,6606,13474,524,457,978,8397,7957,16357
LGA15700,425,781,36,34,69,419,498,918,37,39,79,455,502,953,37,42,78,532,588,1115,34,51,90,475,535,1016,52,41,94,560,639,1195,47,47,91,645,733,1378,44,51,99,735,834,1566,45,50,93,788,867,1661,78,62,142,909,987,1894,74,78,147,2768,2884,5655,169,170,336,3005,3131,6138,803,828,1632,8406,8889,17293,729,747,1475,9937,10463,20407
LGA15750,252,525,39,39,76,346,332,683,42,47,91,293,287,583,49,38,89,380,380,761,34,52,86,328,277,604,61,41,100,422,368,788,34,50,85,365,361,726,45,52,98,444,460,908,48,41,87,372,345,718,60,48,110,479,439,918,73,62,134,985,1094,2083,122,107,224,1178,1261,2436,918,965,1881,4779,4714,9501,702,619,1322,6397,6307,12703
LGA15800,115,228,14,20,31,150,153,307,10,22,33,135,149,279,9,8,21,155,178,328,17,9,25,146,140,284,16,17,30,175,164,343,13,21,36,145,174,322,13,7,19,170,208,379,17,21,34,195,181,377,18,16,32,231,213,440,27,23,47,559,624,1184,52,46,101,634,693,1326,359,362,723,2186,2277,4467,268,237,501,2823,2873,5698
LGA15850,115,210,19,27,45,147,171,318,25,23,51,140,116,259,27,18,47,195,165,360,22,47,66,118,125,243,20,16,30,159,187,347,26,27,54,154,159,311,28,31,57,207,215,420,14,30,46,190,156,345,13,20,37,221,205,425,67,52,120,538,559,1101,94,87,177,694,698,1388,652,650,1300,2151,2078,4224,416,414,834,3218,3144,6360
LGA15900,4851,9526,220,175,391,5042,5202,10244,172,188,359,4726,4951,9678,230,200,431,5129,5343,10471,176,190,365,4607,4860,9467,205,160,363,4986,5209,10195,161,149,307,4519,4632,9152,203,192,396,4879,4975,9857,103,141,249,4255,4608,8868,165,135,296,4530,4887,9415,177,235,416,12131,14570,26702,612,913,1531,12924,15726,28649,3649,3762,7410,75763,78635,154396,3567,3495,7064,82975,85893,168873
LGA15950,2734,5245,96,110,197,2617,2847,5461,16,8,25,2099,2289,4391,84,74,157,2201,2372,4570,9,6,10,1849,2225,4073,69,78,147,1915,2310,4228,7,11,19,1703,1931,3638,77,66,146,1786,2009,3794,0,4,6,1602,1894,3495,73,73,143,1672,1967,3644,9,13,25,4832,6032,10868,260,343,601,5108,6390,11495,131,150,278,31062,34973,66037,1251,1384,2630,32443,36505,68950
